Date,Open,High,Low,Close,Volume
2013-12-12,3193.46,3195.75,3176.62,3182.33,0.0
2013-12-11,3230.32,3230.43,3189.7,3193.52,0.0
2013-12-10,3238.64,3240.29,3228.16,3229.72,0.0
2013-12-09,3236.13,3245.57,3236.13,3239.99,0.0
2013-12-06,3204.02,3235.69,3204.02,3233.99,0.0
2013-12-05,3211.71,3211.71,3194.82,3197.76,0.0
2013-12-04,3212.2,3224.11,3187.03,3211.59,0.0
2013-12-03,3223.81,3223.81,3201.87,3214.95,0.0
2013-12-02,3235.18,3241.39,3221.0,3225.06,0.0
2013-11-29,3238.87,3247.56,3230.44,3233.72,0.0
2013-11-27,3229.42,3237.98,3228.18,3236.14,0.0
2013-11-26,3227.57,3237.49,3223.81,3227.36,0.0
2013-11-25,3233.42,3236.56,3223.15,3226.53,0.0
2013-11-22,3217.04,3230.55,3212.71,3230.54,0.0
2013-11-21,3192.09,3216.41,3192.09,3214.16,0.0
2013-11-20,3202.74,3213.71,3180.78,3188.04,0.0
2013-11-19,3204.74,3213.1,3193.88,3199.51,0.0
2013-11-18,3218.51,3224.79,3199.15,3205.46,0.0
2013-11-15,3203.75,3217.28,3203.75,3217.2,0.0
2013-11-14,3189.58,3205.28,3185.07,3203.65,0.0
2013-11-13,3156.11,3187.64,3149.49,3187.64,0.0
2013-11-12,3164.37,3168.37,3151.47,3161.1,0.0
2013-11-11,3164.95,3171.17,3161.41,3168.41,0.0
2013-11-08,3126.34,3166.16,3125.02,3166.11,0.0
2013-11-07,3166.29,3173.08,3122.47,3124.12,0.0
2013-11-06,3155.32,3170.86,3154.48,3165.13,0.0
2013-11-05,3154.78,3157.19,3137.07,3149.96,0.0
2013-11-04,3150.38,3159.81,3147.16,3158.47,0.0
2013-11-01,3141.95,3154.4,3131.25,3147.21,0.0
2013-10-31,3150.05,3159.48,3136.76,3138.09,0.0
2013-10-30,3165.93,3171.2,3139.23,3149.93,0.0
2013-10-29,3149.0,3165.37,3149.0,3165.11,0.0
2013-10-28,3142.56,3152.51,3139.44,3147.36,0.0
2013-10-25,3136.45,3143.25,3130.16,3143.16,0.0
2013-10-24,3121.21,3132.75,3117.68,3129.41,0.0
2013-10-23,3129.73,3129.73,3108.86,3119.2,0.0
